identifier,player,full_name,format,span_bat,mat_bat,inns_bat,no,runs_bat,hs,ave_bat,bf,sr_bat,100,50,ducks,4s,6s,span_bowl,mat_bowl,inns_bowl,balls,runs_bowl,wkts,bbi,ave_bowl,econ,sr_bowl,4,5,bbm,10,overs,mdns,total_contribution,ar_rating
4ec07775,RN ten Doeschate,Ryan ten Doeschate,ODI,2006-2011,33,32,9,1541,119,67,1757,87.7,5,9,1,0,0,2006-2011,33,33,1580,1327,55,Apr-31,24.12,5.03,28.7,3,0,0,0,0,0,2641,42.88
436c763a,B McMullen,Brandon McMullen,ODI,2022-2025,37,33,4,1202,151,41.44,1365,88.05,4,4,1,0,0,2022-2025,37,33,1607,1216,55,May-34,22.1,4.54,29.2,1,1,0,0,0,0,2302,19.34
8f6dd463,Azmatullah Omarzai,Azmatullah Omarzai,ODI,2021-2025,42,34,9,1093,149*,43.72,1122,97.41,1,8,3,0,0,2021-2025,42,41,1341,1199,44,May-58,27.25,5.36,30.4,2,1,0,0,0,0,1973,16.47
d027ba9f,KS Williamson,Kane Williamson,ODI,2010-2025,175,167,18,7256,148,48.69,8893,81.59,15,47,6,0,0,2010-2025,175,65,1467,1310,37,Apr-22,35.4,5.35,39.6,1,0,0,0,0,0,7996,13.29
95a5e066,MG Erasmus,Gerhard Erasmus,ODI,2019-2025,63,62,5,2178,125,38.21,2809,77.53,2,17,4,0,0,2019-2025,63,49,1769,1332,53,May-28,25.13,4.51,33.3,1,2,0,0,0,0,3238,13.08
86dc8f2e,JH Kallis,Jacques Kallis,ODI,1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17,0,0,1996-2014,328,283,10750,8680,273,May-30,31.79,4.84,39.3,2,2,0,0,0,0,17039,12.57
53fe6ee4,DS Lehmann,Darren Lehmann,ODI,1996-2005,117,101,22,3078,119,38.96,3784,81.34,4,17,4,0,0,1996-2005,117,62,1793,1445,52,04-Jul,27.78,4.83,34.4,1,0,0,0,0,0,4118,11.18
2bedc57e,IVA Richards,Vivian Richards,ODI,1975-1991,187,167,24,6721,189*,47,7451,90.2,11,45,7,0,0,1975-1991,187,131,5644,4228,118,Jun-41,35.83,4.49,47.8,1,2,0,0,0,0,9081,11.17
c0790f82,L Klusener,Lance Klusener,ODI,1996-2004,171,137,50,3576,103*,41.1,3977,89.91,2,19,13,0,0,1996-2004,171,164,7336,5751,192,Jun-49,29.95,4.7,38.2,1,6,0,0,0,0,7416,11.15
a8875fc5,GS Chappell,Greg Chappell,ODI,1971-1983,74,72,14,2331,138*,40.18,3079,75.7,3,14,7,0,0,1971-1983,74,67,3108,2097,72,May-15,29.12,4.04,43.1,0,2,0,0,0,0,3771,11.06
