identifier,player,full_name,format,span,mat,inns,no,runs,hs,ave,bf,sr,100,50,ducks,4s,6s
d2c2b2d5,SR Tendulkar,Sachin Ramesh Tendulkar,ODI,1989-2012,463,452,41,18426,200*,44.83,21368,86.23,49,96,20,0,0
ba607b88,V Kohli,Virat Kohli,ODI,2008-2026,311,299,47,14797,183,58.71,15771,93.82,54,77,18,0,0
6b71e6cf,KC Sangakkara,Kumar Sangakkara,ODI,2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15,0,0
7d415ea5,RT Ponting,Ricky Thomas Ponting,ODI,1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20,0,0
f233bbb4,ST Jayasuriya,Sanath Jayasuriya,ODI,1989-2011,445,433,18,13430,189,32.36,14725,91.2,28,68,34,0,0
d18f9182,DPMD Jayawardene,Mahela Jayawardene,ODI,1998-2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28,0,0
b9a3d8c6,Inzamam-ul-Haq,Inzamam-ul-Haq,ODI,1991-2007,378,350,53,11739,137*,39.52,15812,74.24,10,83,20,0,0
86dc8f2e,JH Kallis,Jacques Henry Kallis,ODI,1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17,0,0
740742ef,RG Sharma,Rohit Gurunath Sharma,ODI,2007-2026,282,274,37,11577,264,48.84,12482,92.74,33,61,16,0,0
725529bc,SC Ganguly,Sourav Ganguly,ODI,1992-2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16,0,0
0184dc35,R Dravid,Rahul Dravid,ODI,1996-2011,344,318,40,10889,153,39.16,15285,71.23,12,83,13,0,0
4a8a2e3b,MS Dhoni,Mahendra Singh Dhoni,ODI,2004-2019,350,297,84,10773,183*,50.57,12303,87.56,10,73,10,0,0
db584dad,CH Gayle,Chris Gayle,ODI,1999-2019,301,294,17,10480,215,37.83,12019,87.19,25,54,25,0,0
d5403021,BC Lara,Brian Charles Lara,ODI,1990-2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16,0,0
5bdcdb72,TM Dilshan,Tillakaratne Dilshan,ODI,1999-2016,330,303,41,10290,161*,39.27,11933,86.23,22,47,11,0,0
e237b28c,Mohammad Yousuf,Mohammad Yousuf,ODI,1998-2010,288,273,40,9720,141*,41.71,12942,75.1,15,64,15,0,0
2b6e6dec,AC Gilchrist,Adam Gilchrist,ODI,1996-2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19,0,0
c4487b84,AB de Villiers,Abraham Benjamin de Villiers,ODI,2005-2018,228,218,39,9577,176,53.5,9473,101.09,25,53,7,0,0
1b30e051,M Azharuddin,Mohammad Azharuddin,ODI,1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9,0,0
34ff9e07,PA de Silva,Aravinda de Silva,ODI,1984-2003,308,296,30,9284,145,34.9,11443,81.13,11,64,17,0,0
0aa14354,Saeed Anwar,Saeed Anwar,ODI,1989-2003,247,244,19,8824,194,39.21,10938,80.67,20,43,15,0,0
881a9bdd,S Chanderpaul,Shivnarine Chanderpaul,ODI,1994-2011,268,251,40,8778,150,41.6,12408,70.74,11,59,6,0,0
1c914163,Yuvraj Singh,Yuvraj Singh,ODI,2000-2017,304,278,40,8701,150,36.55,9924,87.67,14,52,18,0,0
9d84d41d,DL Haynes,Desmond Haynes,ODI,1978-1994,238,237,28,8648,152*,41.37,13707,63.09,17,57,13,0,0
