team,span,mat,won,lost,tied,draw,w_l,ave,rpo,inns,hs,ls,unnamed:_13,format,nr
Australia,1877-2026,882,426,235,2,219.0,1.812,34.32,2.98,1612,758,36,,Test,
England,1877-2026,1094,404,334,0,356.0,1.209,32.26,2.8,1973,903,45,,Test,
South Africa,1889-2025,479,191,162,0,126.0,1.179,31.71,2.84,875,682,30,,Test,
India,1932-2025,598,185,188,1,224.0,0.984,33.73,2.97,1064,759,36,,Test,
West Indies,1928-2025,592,185,223,1,183.0,0.829,31.1,2.99,1082,790,27,,Test,
Pakistan,1952-2025,467,152,149,0,166.0,1.02,32.52,2.93,841,765,49,,Test,
New Zealand,1930-2025,483,123,189,0,171.0,0.65,29.72,2.74,889,715,26,,Test,
Sri Lanka,1982-2025,327,107,127,0,93.0,0.842,32.43,3.12,598,952,42,,Test,
Bangladesh,2000-2025,156,25,112,0,19.0,0.223,25.43,3.16,303,638,43,,Test,
Zimbabwe,1992-2025,129,15,84,0,30.0,0.178,25.88,2.75,248,586,51,,Test,
Afghanistan,2018-2025,12,4,7,0,1.0,0.571,24.45,3.15,23,699,103,,Test,
Ireland,2018-2025,12,3,9,0,0.0,0.333,24.69,3.15,24,492,38,,Test,
ICC World XI,2005-2005,1,0,1,0,0.0,0.0,16.7,3.43,2,190,144,,Test,
Australia,1971-2025,1019,617,358,9,,1.723,34.07,5.07,1009,434,70,,ODI,35.0
India,1974-2026,1075,571,450,10,,1.268,34.28,5.14,1063,418,54,,ODI,44.0
Pakistan,1973-2025,996,526,440,9,,1.195,30.99,4.89,994,399,43,,ODI,21.0
Sri Lanka,1975-2026,943,435,461,6,,0.943,29.62,4.95,926,443,43,,ODI,41.0
West Indies,1973-2025,897,429,425,12,,1.009,30.08,4.83,886,389,54,,ODI,31.0
South Africa,1991-2025,698,421,250,6,,1.684,35.71,5.19,694,439,69,,ODI,21.0
England,1971-2026,823,409,374,9,,1.093,31.35,5.02,813,498,86,,ODI,31.0
New Zealand,1973-2026,850,398,401,7,,0.992,29.8,4.91,834,402,64,,ODI,44.0
Bangladesh,1986-2025,455,163,281,1,,0.58,26.28,4.68,451,349,58,,ODI,10.0
Zimbabwe,1983-2025,583,154,405,8,,0.38,25.35,4.56,578,408,35,,ODI,16.0
Afghanistan,2009-2025,181,89,85,1,,1.047,27.91,4.87,179,339,58,,ODI,6.0
Ireland,2006-2025,210,83,108,3,,0.768,27.88,4.91,202,359,77,,ODI,16.0
Scotland,1999-2025,175,81,84,1,,0.964,27.75,4.83,172,380,68,,ODI,9.0
Netherlands,1996-2025,146,54,85,2,,0.635,25.4,4.68,144,374,80,,ODI,5.0
Kenya,1996-2014,154,42,107,0,,0.392,23.01,4.25,151,347,69,,ODI,5.0
U.A.E.,1994-2025,128,42,85,1,,0.494,23.84,4.48,128,348,49,,ODI,0.0
U.S.A.,2004-2025,75,40,32,3,,1.25,27.95,4.92,75,361,35,,ODI,0.0
Nepal,2018-2025,81,38,40,1,,0.95,24.88,4.67,81,321,103,,ODI,2.0
Oman,2019-2025,65,33,28,2,,1.178,27.41,4.57,64,318,65,,ODI,2.0
Namibia,2003-2025,71,32,37,1,,0.864,24.77,4.72,71,381,45,,ODI,1.0
Canada,1979-2025,107,28,75,1,,0.373,22.9,4.42,106,312,36,,ODI,3.0
P.N.G.,2014-2023,66,14,51,1,,0.274,21.21,4.33,66,333,82,,ODI,0.0
